.\image4774.ppm.png,260,189,344,272
.\image4790.ppm.png,259,192,343,275
.\image4805.ppm.png,256,189,340,272
.\image4821.ppm.png,256,191,340,274
.\image4837.ppm.png,246,187,330,270
.\image4856.ppm.png,254,203,341,288
.\image4872.ppm.png,230,202,318,289
.\image4888.ppm.png,236,209,324,296
.\image4903.ppm.png,228,212,317,300
.\image4919.ppm.png,214,224,304,312
.\image4935.ppm.png,234,257,327,350
.\image4950.ppm.png,232,262,328,357
.\image4967.ppm.png,242,279,337,375
.\image4983.ppm.png,244,269,339,364
.\image4999.ppm.png,240,269,337,367
.\image5016.ppm.png,247,264,345,362
.\image5032.ppm.png,239,260,337,357
.\image5047.ppm.png,264,257,364,357
.\image5063.ppm.png,242,256,343,355
.\image5079.ppm.png,244,200,339,294
.\image5094.ppm.png,262,179,350,265
.\image5111.ppm.png,266,166,346,246
.\image5127.ppm.png,240,134,320,211
.\image5142.ppm.png,228,115,304,193
.\image5158.ppm.png,220,130,297,207
.\image5173.ppm.png,204,143,282,219
.\image5190.ppm.png,218,156,300,236
.\image5206.ppm.png,220,210,305,293
.\image5221.ppm.png,204,225,294,312
.\image5253.ppm.png,192,252,291,351
.\image5268.ppm.png,229,276,328,372
.\image5284.ppm.png,312,282,410,379
.\image5300.ppm.png,369,203,462,295
.\image5315.ppm.png,350,141,440,228
.\image5331.ppm.png,345,120,430,204
.\image5347.ppm.png,296,106,379,187
.\image5363.ppm.png,280,93,358,172
.\image5380.ppm.png,238,114,316,191
.\image5396.ppm.png,200,140,281,217
.\image5412.ppm.png,172,154,258,236
.\image5428.ppm.png,200,174,285,256
.\image5444.ppm.png,192,156,280,237
.\image5459.ppm.png,216,123,303,207
.\image5475.ppm.png,204,118,295,209
.\image5490.ppm.png,208,89,304,184
.\image5507.ppm.png,226,92,322,188
.\image5523.ppm.png,194,124,290,218
.\image5539.ppm.png,164,152,265,250
.\image5554.ppm.png,208,204,305,300
.\image5570.ppm.png,252,218,346,311
.\image5586.ppm.png,244,225,336,316
.\image5602.ppm.png,208,234,305,328
.\image5618.ppm.png,174,264,277,364
.\image5633.ppm.png,211,245,313,346
.\image5649.ppm.png,248,245,348,344
.\image5664.ppm.png,251,251,348,347
.\image5679.ppm.png,255,272,351,368
.\image5695.ppm.png,258,270,355,366
.\image5710.ppm.png,220,255,316,351
.\image5726.ppm.png,224,260,320,356
.\image5742.ppm.png,220,260,316,356
.\image5758.ppm.png,220,263,316,357
.\image5773.ppm.png,228,256,320,348
.\image5789.ppm.png,236,248,331,343
.\image5804.ppm.png,200,268,300,367
.\image5820.ppm.png,204,230,300,323
.\image5836.ppm.png,172,228,266,319
.\image5836.ppm.png,496,26,546,77
.\image5852.ppm.png,120,248,222,345
.\image5868.ppm.png,136,257,242,357
.\image5883.ppm.png,214,286,316,384
.\image5901.ppm.png,287,234,383,327
.\image5917.ppm.png,272,188,364,278
.\image5932.ppm.png,254,185,348,279
.\image5949.ppm.png,217,208,315,304
.\image5965.ppm.png,258,199,351,289
.\image5984.ppm.png,258,173,348,262
.\image6000.ppm.png,169,196,267,290
.\image6016.ppm.png,221,228,316,320
.\image6035.ppm.png,279,227,370,317
.\image6051.ppm.png,265,240,353,327
.\image6066.ppm.png,240,246,331,336
.\image6084.ppm.png,236,221,327,312
.\image6100.ppm.png,286,256,375,344
.\image6115.ppm.png,340,267,428,353
.\image6131.ppm.png,338,254,424,339
.\image6149.ppm.png,286,266,376,355
.\image6166.ppm.png,248,266,338,356
.\image6181.ppm.png,259,292,349,383
.\image6196.ppm.png,248,305,336,395
.\image6215.ppm.png,272,299,363,390
.\image6233.ppm.png,282,309,377,404
.\image6249.ppm.png,292,307,387,401
.\image6265.ppm.png,273,306,360,394
.\image6265.ppm.png,180,100,224,140
.\image6283.ppm.png,266,302,356,393
.\image6299.ppm.png,258,320,352,416
.\image6331.ppm.png,320,275,407,358
.\image6331.ppm.png,0,0,15,220
.\image6365.ppm.png,359,206,430,273
.\image6380.ppm.png,352,203,419,266
.\image6396.ppm.png,375,161,437,220
.\image6415.ppm.png,320,171,382,228
.\image6431.ppm.png,279,176,335,230
.\image6447.ppm.png,272,148,328,201
.\image6478.ppm.png,275,165,323,212
.\image6493.ppm.png,242,165,290,211
.\image6509.ppm.png,264,139,310,183
.\image6524.ppm.png,291,136,335,179
.\image6540.ppm.png,267,165,312,208
.\image6556.ppm.png,255,168,299,210
.\image6575.ppm.png,282,144,325,186
.\image6607.ppm.png,248,159,293,200
.\image6625.ppm.png,240,156,284,198
.\image6640.ppm.png,212,156,260,198
.\image6656.ppm.png,224,148,268,189
.\image6674.ppm.png,203,154,246,194
.\image6690.ppm.png,184,167,226,206
.\image6705.ppm.png,228,157,273,195
.\image6737.ppm.png,266,141,308,182
.\image6752.ppm.png,308,129,353,172
.\image6769.ppm.png,236,198,280,241
.\image6784.ppm.png,187,216,232,259
.\image6800.ppm.png,180,197,228,241
.\image6832.ppm.png,252,131,297,173
.\image6848.ppm.png,184,172,235,214
.\image6865.ppm.png,142,197,191,239
.\image6881.ppm.png,143,196,188,238
.\image6900.ppm.png,564,0,640,77
.\image6900.ppm.png,136,207,187,253
.\image6935.ppm.png,176,157,229,207
.\image6950.ppm.png,158,157,214,208
.\image6966.ppm.png,204,163,257,212
.\image7012.ppm.png,248,139,304,194
.\image7031.ppm.png,280,158,342,216
.\image7062.ppm.png,281,188,342,247
.\image7081.ppm.png,277,172,336,228
.\image7100.ppm.png,274,146,344,209
